timeStamp	elapsed	label	responseCode	responseMessage	threadName	dataType	success	failureMessage	bytes	sentBytes	grpThreads	allThreads	URL	Latency	IdleTime	Connect			
1654795694780	10987	1-Home/index.php-149	200	OK	Flujo Automatización Practice 1-5	text	false	The operation lasted too long: It took 10	987 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35531	599	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	10592	0	106
1654795696500	10868	1-Home/index.php-149	200	OK	Flujo Automatización Practice 1-3	text	false	The operation lasted too long: It took 10	868 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35541	599	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	10156	0	88
1654795700607	9248	1-Home/index.php-149	200	OK	Flujo Automatización Practice 1-4	text	false	The operation lasted too long: It took 9	248 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35547	599	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	8553	0	89
1654795708645	12109	1-Home/index.php-149	200	OK	Flujo Automatización Practice 1-1	text	false	The operation lasted too long: It took 12	109 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35537	599	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	11623	0	88
1654795709114	12649	1-Home/index.php-149	200	OK	Flujo Automatización Practice 1-2	text	false	The operation lasted too long: It took 12	649 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35541	599	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	11842	0	87
1654795725946	10312	2-Sign in/index.php-183	200	OK	Flujo Automatización Practice 1-5	text	false	The operation lasted too long: It took 10	312 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35549	504	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	9711	0	92
1654795744168	184	2-Sign in/index.php-183	508	Loop Detected	Flujo Automatización Practice 1-4	text	false	Test failed: text expected to contain /Password/	493	504	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	184	0	93			
1654795734607	14169	2-Sign in/index.php-183	200	OK	Flujo Automatización Practice 1-2	text	false	The operation lasted too long: It took 14	169 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35543	504	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	13154	0	89
1654795741334	11733	2-Sign in/index.php-183	200	OK	Flujo Automatización Practice 1-1	text	false	The operation lasted too long: It took 11	733 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35551	504	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	11127	0	90
1654795743483	10073	2-Sign in/index.php-183	200	OK	Flujo Automatización Practice 1-3	text	false	The operation lasted too long: It took 10	073 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	35551	504	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	9278	0	90
1654795751645	21019	3-Ingresed/index.php?controller=authentication-184	200	OK	Flujo Automatización Practice 1-5	text	false	The operation lasted too long: It took 21	019 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	37610	1845	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	7821	0	93
1654795751645	7821	3-Ingresed/index.php?controller=authentication-184-0	302	Moved Temporarily	Flujo Automatización Practice 1-5	text	true		1519	675	5	5	http://automationpractice.com/index.php?controller=authentication	7821	0	93			
1654795759469	6493	3-Ingresed/index.php?controller=authentication-184-1	302	Moved Temporarily	Flujo Automatización Practice 1-5	text	true		575	575	5	5	http://automationpractice.com/index.php?controller=my-account	6493	0	0			
1654795765963	6701	3-Ingresed/index.php?controller=authentication-184-2	200	OK	Flujo Automatización Practice 1-5	text	true		35516	595	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	6496	0	0			
1654795757714	16372	3-Ingresed/index.php?controller=authentication-184	200	OK	Flujo Automatización Practice 1-4	text	false	The operation lasted too long: It took 16	372 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	37584	1845	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	7742	0	89
1654795757714	7742	3-Ingresed/index.php?controller=authentication-184-0	302	Moved Temporarily	Flujo Automatización Practice 1-4	text	true		1495	675	5	5	http://automationpractice.com/index.php?controller=authentication	7742	0	89			
1654795765456	4908	3-Ingresed/index.php?controller=authentication-184-1	302	Moved Temporarily	Flujo Automatización Practice 1-4	text	true		579	575	5	5	http://automationpractice.com/index.php?controller=my-account	4908	0	0			
1654795770365	3722	3-Ingresed/index.php?controller=authentication-184-2	200	OK	Flujo Automatización Practice 1-4	text	true		35510	595	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	3546	0	0			
1654795780725	10937	3-Ingresed/index.php?controller=authentication-184	200	OK	Flujo Automatización Practice 1-3	text	false	The operation lasted too long: It took 10	937 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	37596	1845	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	2752	0	90
1654795780725	2752	3-Ingresed/index.php?controller=authentication-184-0	302	Moved Temporarily	Flujo Automatización Practice 1-3	text	true		1505	675	5	5	http://automationpractice.com/index.php?controller=authentication	2752	0	90			
1654795783477	2385	3-Ingresed/index.php?controller=authentication-184-1	302	Moved Temporarily	Flujo Automatización Practice 1-3	text	true		577	575	5	5	http://automationpractice.com/index.php?controller=my-account	2385	0	0			
1654795785863	5799	3-Ingresed/index.php?controller=authentication-184-2	200	OK	Flujo Automatización Practice 1-3	text	true		35514	595	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	5195	0	0			
1654795782165	12401	3-Ingresed/index.php?controller=authentication-184	200	OK	Flujo Automatización Practice 1-2	text	false	The operation lasted too long: It took 12	401 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	37592	1845	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	3017	0	88
1654795782165	3017	3-Ingresed/index.php?controller=authentication-184-0	302	Moved Temporarily	Flujo Automatización Practice 1-2	text	true		1501	675	5	5	http://automationpractice.com/index.php?controller=authentication	3017	0	88			
1654795785182	2381	3-Ingresed/index.php?controller=authentication-184-1	302	Moved Temporarily	Flujo Automatización Practice 1-2	text	true		577	575	5	5	http://automationpractice.com/index.php?controller=my-account	2381	0	0			
1654795787563	7003	3-Ingresed/index.php?controller=authentication-184-2	200	OK	Flujo Automatización Practice 1-2	text	true		35514	595	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	6603	0	0			
1654795789801	22568	3-Ingresed/index.php?controller=authentication-184	200	OK	Flujo Automatización Practice 1-1	text	false	The operation lasted too long: It took 22	568 milliseconds	 but should not have lasted longer than 1	000 milliseconds.	37616	1845	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	7258	0	90
1654795789801	7258	3-Ingresed/index.php?controller=authentication-184-0	302	Moved Temporarily	Flujo Automatización Practice 1-1	text	true		1519	675	5	5	http://automationpractice.com/index.php?controller=authentication	7258	0	90			
1654795797060	4602	3-Ingresed/index.php?controller=authentication-184-1	302	Moved Temporarily	Flujo Automatización Practice 1-1	text	true		577	575	5	5	http://automationpractice.com/index.php?controller=my-account	4602	0	0			
1654795801662	10707	3-Ingresed/index.php?controller=authentication-184-2	200	OK	Flujo Automatización Practice 1-1	text	true		35520	595	5	5	http://automationpractice.com/index.php?controller=authentication&back=my-account	10401	0	0			
1654795806353	10503	4-My Store/index.php-187	200	OK	Flujo Automatización Practice 1-5	text	true		82298	445	5	5	http://automationpractice.com/index.php	10013	0	92			
1654795810090	9167	4-My Store/index.php-187	200	OK	Flujo Automatización Practice 1-2	text	true		82294	445	5	5	http://automationpractice.com/index.php	8578	0	89			
1654795813787	7514	4-My Store/index.php-187	200	OK	Flujo Automatización Practice 1-4	text	true		82308	445	5	5	http://automationpractice.com/index.php	7077	0	91			
1654795830010	12150	4-My Store/index.php-187	200	OK	Flujo Automatización Practice 1-3	text	true		82314	445	5	5	http://automationpractice.com/index.php	11349	0	87			
1654795836599	11972	4-My Store/index.php-187	200	OK	Flujo Automatización Practice 1-1	text	true		82306	445	5	5	http://automationpractice.com/index.php	11364	0	89			
1654795854779	17278	5- add to cart/index.php?rand=1654776817671-191	200	OK	Flujo Automatización Practice 1-2	text	true		82900	1183	5	5	http://automationpractice.com/index.php	6477	0	91			
1654795854779	6477	5- add to cart/index.php?rand=1654776817671-191-0	302	Moved Temporarily	Flujo Automatización Practice 1-2	text	true		615	656	5	5	http://automationpractice.com/index.php?rand=1654776817671	6477	0	91			
1654795861256	10801	5- add to cart/index.php?rand=1654776817671-191-1	200	OK	Flujo Automatización Practice 1-2	text	true		82285	527	5	5	http://automationpractice.com/index.php	9910	0	0			
1654795854075	18793	5- add to cart/index.php?rand=1654776817671-191	200	OK	Flujo Automatización Practice 1-4	text	true		82894	1183	5	5	http://automationpractice.com/index.php	6989	0	89			
1654795854075	6989	5- add to cart/index.php?rand=1654776817671-191-0	302	Moved Temporarily	Flujo Automatización Practice 1-4	text	true		613	656	5	5	http://automationpractice.com/index.php?rand=1654776817671	6989	0	89			
1654795861064	11804	5- add to cart/index.php?rand=1654776817671-191-1	200	OK	Flujo Automatización Practice 1-4	text	true		82281	527	5	5	http://automationpractice.com/index.php	11106	0	0			
